"PSH1";"Anthropology";"http://dbpedia.org/resource/Anthropology";"skos:exactMatch"
"PSH10001";"Cycling";"http://dbpedia.org/resource/Cycling";"skos:exactMatch"
"PSH10013";"Biathlon";"http://dbpedia.org/resource/Biathlon";"skos:exactMatch"
"PSH10022";"Curling";"http://dbpedia.org/resource/Curling";"skos:exactMatch"
"PSH10025";"Snowboarding";"http://dbpedia.org/resource/Snowboarding";"skos:exactMatch"
"PSH10028";"Aikido";"http://dbpedia.org/resource/Aikido";"skos:exactMatch"
"PSH10030";"Judo";"http://dbpedia.org/resource/Judo";"skos:exactMatch"
"PSH10031";"Karate";"http://dbpedia.org/resource/Karate";"skos:exactMatch"
"PSH10032";"Kendo";"http://dbpedia.org/resource/Kendo";"skos:exactMatch"
"PSH10039";"Sumo";"http://dbpedia.org/resource/Sumo";"skos:exactMatch"
"PSH10041";"Boxing";"http://dbpedia.org/resource/Boxing";"skos:exactMatch"
"PSH10044";"Fencing";"http://dbpedia.org/resource/Fencing";"skos:exactMatch"
"PSH10052";"Gliding";"http://dbpedia.org/resource/Gliding";"skos:exactMatch"
"PSH10060";"Archery";"http://dbpedia.org/resource/Archery";"skos:exactMatch"
"PSH10069";"Textile";"http://dbpedia.org/resource/Textile";"skos:exactMatch"
"PSH10071";"Knitting";"http://dbpedia.org/resource/Knitting";"skos:exactMatch"
"PSH10090";"Passementerie";"http://dbpedia.org/resource/Passementerie";"skos:exactMatch"
"PSH10091";"Embroidery";"http://dbpedia.org/resource/Embroidery";"skos:exactMatch"
"PSH10096";"Sewing";"http://dbpedia.org/resource/Sewing";"skos:exactMatch"
"PSH10100";"Clothing";"http://dbpedia.org/resource/Clothing";"skos:exactMatch"
"PSH10108";"Linen";"http://dbpedia.org/resource/Linen";"skos:exactMatch"
"PSH10129";"Glass";"http://dbpedia.org/resource/Glass";"skos:exactMatch"
"PSH10162";"Faience";"http://dbpedia.org/resource/Faience";"skos:exactMatch"
"PSH10166";"Porcelain";"http://dbpedia.org/resource/Porcelain";"skos:exactMatch"
"PSH10172";"Stoneware";"http://dbpedia.org/resource/Stoneware";"skos:exactMatch"
"PSH10173";"Pottery";"http://dbpedia.org/resource/Pottery";"skos:exactMatch"
"PSH10176";"Furniture";"http://dbpedia.org/resource/Furniture";"skos:exactMatch"
"PSH10204";"Printing";"http://dbpedia.org/resource/Printing";"skos:exactMatch"
"PSH10215";"Paper";"http://dbpedia.org/resource/Paper";"skos:exactMatch"
"PSH10219";"Paperboard";"http://dbpedia.org/resource/Paperboard";"skos:exactMatch"
"PSH1028";"Phytogeography";"http://dbpedia.org/resource/Phytogeography";"skos:exactMatch"
